Tenant Id,Tenant Name,Create Role,Create User,Create Domain,List Domain,Change Domain,Compliance Status
38665e2ffc59404fa75ff77cb5035446,CXSP Dev 1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
3d0fceaba4544ddd90477e3720030750,jhemric-uatlbaas,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
40aaa2f8eaa6427cbf7ab246343989e0,sto-ccc-hardening,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
42ae32e6aaab40168f94f69dd0ffbc8d,cae_project1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
451d54dc2c974551b760184cb30211b6,EB-STG-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
46ca22d66e514a5a94556037b38014b0,ESGDEV-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
46e372272c274398b43550f4109c8f80,MMSTG-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
49897ff34c4c4bcda42d1d1a881f8c5b,IAM Dashboard,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4a6b1713b688443b9eb456ae4f01a62c,CTBX,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4a7dfadb534d400693ea834a5c4bcd7d,hari-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4c2155c29c7a4a75a8d50d9d2e83be6c,embdev-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4cd2fa18b7eb4106b1201642e041343c,documentation,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4ed44a1319c1404680bd722d1a201992,SCISTG-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
4f20298910ec4e7f9c893f521f676918,cca2c304398345e589c17f9dab8c92ac-25292a91-d077-4e50-a3c8-b3d22bf,,,,,,
53971cc3693f4c25a5fab9d271dee70c,EB-DEV-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
5409ebbb7265490db89adf88b2353911,OPSMGR-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
5a48ad6106e74251a7d05f4a411031ee,LTaaSProjects,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
5c86a77505eb4e6da5ef57b1a758ba8c,MCMP-DEV,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
5d2758fddc9d4240a0b41ef80a020c5b,mcmp-reporting-db,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
5e12ed5cda164b45b2a0d06e6f109bb0,AIMSTG-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
606731457ac149babd8c098f8155886e,ESGNPD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
62e4a56e29f64076a23c9fbd50d89b9c,Spinnaker-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
62fde73f456f4aadb7cebf853203a0ca,dtrool-project,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
661a546e2a1a4ba29eda8a9342dea56a,1be9223c4ad4485a9255fddd2487e4a4-58f0f3c4-973a-45ab-8112-7599d4e,,,,,,
66cadef7fc1c429aaded7f7e9babbe85,spark-poc,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
68dbcd6bc4ab448eb7ab250bb0a707a3,lglprd-prd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
6b779c97264b45f78b77306df81dd2d5,GSLOPC-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
6ca1f78596f24c9c8d998efc5791d626,Equinix,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
70128ecb61754de59de794e44850ec06,OPL-App-Stg,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
70229d59183f4bf4bab39d2147178324,Integrity Verification for NSO,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
706419a8e3794fd9a20e3e15c913a89c,cxdp-sandbox,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
70bfe963b6ff46df8a8b23dadd00aade,Coral,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
71096dd42dec49fd9600b9081f9ca997,casapp-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
71b5ad6ad5874db0b38455b67e5f72dc,ngcs-ops-tools,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
724a1b156c5249838044a4308532d893,DCC-OpenStack,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
73e3775f6a9f46e7958b92228978540d,Test- UI,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
743dcc967067402e9447fb87e9719f86,AIRA test,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
74739e69f9724f0fa53b8ccd25419b43,kafka-kubernetes-aims,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
75e8be7fa3224f14875eec3d3de42129,mcmp-opstack-nprd,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
77328d4b4c234e74bfa54d1633339d17,ken-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
79642df9985e4738acdb11e4dfa594a2,tagprd-prd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
7d9d6f1a0424475db5386bfd595eb795,OPLTS3-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
80c66c846bee411c904b600bdd429e43,OPL-LT,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
83a5414093524251a386b48b996759b1,dcoe,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
83f28036bd034cd6a476dfcd01ec897f,itsaut-dev-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
84690b9cfdce461893e970b71351d316,SCIPRD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
85171a27b0534706836849c3ae75886a,IPCC-SRV,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
86204e5d48714f5385b4468fe173c6bb,bnrtest,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
86b0dadb9ecb4a27a8b425d85bb32d16,deepika-p3,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8701012861c84fea9434ced9ca47fa24,lgldev-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
888ac44268754f50888d5bd0aabe34a7,phuoc_rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
