Image Owner Id,Tenant Name,Tenant External URL,Image Id,Image Name,Visibility,Unused,Direct URL,Image_Updated_on
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,295ecf42-816c-4238-ba42-5c2e8d3a4cac,rhel74-base-vm-ss,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/295ecf42-816c-4238-ba42-5c2e8d3a4cac/snap,2018-04-04T03:18:38Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,51cf8fac-1828-485f-a71f-594dcc95782c,sb-test-05-snap,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/51cf8fac-1828-485f-a71f-594dcc95782c/snap,2018-07-10T23:40:35Z
f8cdafc8861b4e0ab29362101c9c63ce,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,10893dd1-272c-4a07-8c4a-b9e8987671d3,RHEL-7.4-BASE-20170821,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/10893dd1-272c-4a07-8c4a-b9e8987671d3/snap,2018-04-03T20:23:52Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,050fe548-72a6-426a-be5c-ae33244d6922,sb-base-snap,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/050fe548-72a6-426a-be5c-ae33244d6922/snap,2018-04-03T21:53:28Z
789546cbd91e4c4b9c912064a8aa1b02,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,8e57212e-66fc-454a-8830-e72e6a235f2b,RHEL-7_4-PROD,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/8e57212e-66fc-454a-8830-e72e6a235f2b/snap,2018-11-03T02:28:18Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,044235ab-207d-4c32-b963-241222969880,RHEL-7.4-SB-TEST,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/044235ab-207d-4c32-b963-241222969880/snap,2018-04-03T22:11:41Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,7ecb4711-28ed-421c-a1b0-e8ecd43636a6,sb1-sbit2-dev3-1-ss,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/7ecb4711-28ed-421c-a1b0-e8ecd43636a6/snap,2018-09-25T15:24:05Z
789546cbd91e4c4b9c912064a8aa1b02,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,9aa7d528-2363-489f-af6e-ab85cfc5ee49,RHEL-7_4-PROD-11-02-2018-SB,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/9aa7d528-2363-489f-af6e-ab85cfc5ee49/snap,2018-11-03T02:27:07Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,d688196b-661a-4035-a88e-606ec6a354c8,RHEL-7.4-SB-TEST3,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/d688196b-661a-4035-a88e-606ec6a354c8/snap,2018-04-04T01:28:10Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,3a703737-d6c3-4674-ae65-0274d4f84661,sb-base3-ss,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/3a703737-d6c3-4674-ae65-0274d4f84661/snap,2018-04-04T01:11:28Z
380bff38e6e44de49b252694f7b5abe9,trfmdv-npd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,0604fef6-fba2-4d86-a26c-23989b8a52d2,RHEL-7.4-IT,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/0604fef6-fba2-4d86-a26c-23989b8a52d2/snap,2018-08-23T00:57:10Z
49897ff34c4c4bcda42d1d1a881f8c5b,IAM Dashboard,https://cloud-rtp-1.cisco.com:5000/v3,8bd66aa4-df3c-4a97-816d-bb13fbc94951,test-snap,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/8bd66aa4-df3c-4a97-816d-bb13fbc94951/snap,2018-09-25T18:57:23Z
4cd2fa18b7eb4106b1201642e041343c,documentation,https://cloud-rtp-1.cisco.com:5000/v3,d50533bc-b926-4ee5-acfc-856a9fa57605,testing-snap,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/d50533bc-b926-4ee5-acfc-856a9fa57605/snap,2018-04-12T16:51:51Z
4cd2fa18b7eb4106b1201642e041343c,documentation,https://cloud-rtp-1.cisco.com:5000/v3,c26a353c-7f08-4d38-af02-6d180f94f6ab,stress-image,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/c26a353c-7f08-4d38-af02-6d180f94f6ab/snap,2018-01-31T16:18:13Z
785634f33bad4c8caadbb9f5baa796c7,EB-DEV-POC,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,RHEL-7_4-MG,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,2019-02-17T04:14:04Z
785634f33bad4c8caadbb9f5baa796c7,MCMP-DEV,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,RHEL-7_4-MG,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,2019-02-17T04:14:04Z
785634f33bad4c8caadbb9f5baa796c7,lglprd-prd-rtp,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,RHEL-7_4-MG,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,2019-02-17T04:14:04Z
