Tenant Name,Tenant ID,Application ID,Application Name,Pod Name,Pod Namespace,Pod Status,Container ID,Image Name,Image ID,Container Start Date,Container Exposed Port ,Compliance_Status
cdfsvc-dev,2ade9051-8634-11e8-ae80-fa163eb08fb0,affc9a50-eb77-4ee5-bb42-0d0b69817b03,Contact Data Foundation,cdfsvc-50-deploy,cdfsvc-dev,Failed,docker://05e6857a9c34a66053a047d6edd0fc740742f94f1e19ac615b54f8a19aafd13d,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cdfsvc-dev,2ade9051-8634-11e8-ae80-fa163eb08fb0,affc9a50-eb77-4ee5-bb42-0d0b69817b03,Contact Data Foundation,cdfsvc-51-deploy,cdfsvc-dev,Failed,docker://a56c4969a5a8b53e9124c0279474066a0b5f6badb0f2263288981a82e1909343,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
checwa-dalp-ext-rtp,60525056-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-dalp-ext-rtp-899bc596b-fzpjg,checwa-dalp-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-dalp-ext-rtp,60525056-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-dalp-ext-rtp-899bc596b-h7xw7,checwa-dalp-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-dtst-ext-rtp,5047e7f9-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-dtst-ext-rtp-6c659659db-8rdqh,checwa-dtst-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-dtst-ext-rtp,5047e7f9-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-dtst-ext-rtp-6c659659db-w2kvg,checwa-dtst-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-salp-ext-rtp,67e0aa37-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-salp-ext-rtp-5c5fccf685-fr6tz,checwa-salp-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-salp-ext-rtp,67e0aa37-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-salp-ext-rtp-5c5fccf685-jkjq6,checwa-salp-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-stst-ext-rtp,85dd17af-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-stst-ext-rtp-6989555f7c-6tbzx,checwa-stst-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
checwa-stst-ext-rtp,85dd17af-9507-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,checwa-stst-ext-rtp-6989555f7c-vz7xb,checwa-stst-ext-rtp,Pending,None,None:Reve1ca5a435a13c1506738e4986180767b70780ed3-Bld5,,None,8080/ ,Non-compliant
